Cygwin Package Information
Package                      Version             	Status
libopenldap2_4_2             2.6.13-1                 OK
libp11-kit0                  0.23.20-1                OK
libpcre1                     8.45-1                   OK
libpcre2_8_0                 10.47-1                  OK
libpipeline1                 1.5.8-1                  OK
libpkgconf7                  2.5.1-1                  OK
libpng16                     1.6.47-2                 OK
libpopt-common               1.19-1                   OK
libpopt0                     1.19-1                   OK
libpsl5                      0.21.5-1                 OK
libquadmath0                 13.4.0-1                 OK
libraqm0                     0.7.0-1                  OK
libreadline7                 8.2-2                    OK
libreadline8                 8.3-1                    OK
librhash0                    1.4.1-1                  OK
libsasl2_3                   2.1.27-1                 OK
libsmartcols1                2.40.2-2                 OK
libsqlite3_0                 3.49.1-1                 OK
libssh2_1                    1.11.0-1                 OK
libssl1.1                    1.1.1w-1                 OK
libssl3                      3.5.6-1                  OK
libstdc++6                   13.4.0-1                 OK
libtasn1_6                   4.21.0-1                 OK
libtiff7                     4.7.1-1                  OK
libtool                      2.5.4-1                  OK
libuchardet0                 0.0.8-1                  OK
libunistring5                1.4.1-1                  OK
libusb1.0                    1.0.21-1                 OK
libuuid1                     2.40.2-2                 OK
libuv1                       1.50.0-1                 OK
libwebp7                     1.6.0-1                  OK
libwebpdemux2                1.6.0-1                  OK
libwebpmux3                  1.6.0-1                  OK
libXau6                      1.0.12-1                 OK
libxcb1                      1.17.0-2                 OK
libXdmcp6                    1.1.5-1                  OK
libxml2                      2.10.4-2                 OK
libxslt                      1.1.43-1                 OK
libxxhash0                   0.8.3-1                  OK
libzstd1                     1.5.7-1                  OK
login                        1.13-1                   OK
m4                           1.4.21-1                 OK
make                         4.4.1-2                  OK
man-db                       2.13.1-1                 OK
mintty                       3.8.2-1                  OK
ncurses                      6.5+20240427-1           OK
ninja                        1.13.2-1                 OK
openssh                      10.3p1-1                 OK
openssl                      3.5.6-1                  OK
p11-kit                      0.23.20-1                OK
p11-kit-trust                0.23.20-1                OK
patch                        2.8-1                    OK
perl                         5.40.3-1                 OK
perl-Archive-Zip             1.68-4                   OK
perl-Class-Inspector         1.36-5                   OK
perl-Error                   0.17030-1                OK
perl-File-ShareDir           1.118-4                  OK
perl-Locale-gettext          1.07-1                   OK
perl-TermReadKey             2.38-5                   OK
perl-Win32-API               0.84-6                   OK
perl_autorebase              5.40.3-1                 OK
perl_base                    5.40.3-1                 OK
pinentry                     1.1.1-1                  OK
pkg-config                   2.5.1-1                  OK
pkgconf                      2.5.1-1                  OK
publicsuffix-list-dafsa      20260129-1               OK
python312                    3.12.12-1                OK
python312-chardet            5.2.0-1                  OK
python312-devel              3.12.12-1                OK
python312-filelock           3.20.1-1                 OK
python312-imaging            12.2.0-1                 OK
python312-importlib-metadata 8.7.1-1                  OK
python312-iniconfig          2.3.0-1                  OK
python312-olefile            0.47-1                   OK
python312-packaging          25.0-1                   OK
python312-platformdirs       4.5.1-1                  OK
python312-pluggy             1.6.0-1                  OK
python312-pygments           2.19.2-1                 OK
python312-pytest             9.0.2-2                  OK
python312-setuptools         80.9.0-1                 OK
python312-toml               0.10.2-3                 OK
python312-typing_extension   4.15.0-1                 OK
python312-wheel              0.45.1-1                 OK
python312-zipp               3.23.0-1                 OK
rebase                       4.6.6-1                  OK
rsync                        3.3.0-1                  OK
run                          1.3.4-2                  OK
sed                          4.10-1                   OK
shared-mime-info             2.4-1                    OK
tar                          1.35-2                   OK
terminfo                     6.5+20240427-1           OK
texinfo                      7.1-2                    OK
tzcode                       2026b-1                  OK
tzdata                       2026b-1                  OK
unzip                        6.0-18                   OK
util-linux                   2.40.2-2                 OK
vim-minimal                  9.1.1825-1               OK
w32api-headers               14.0.0-1                 OK
w32api-runtime               14.0.0-1                 OK
wget                         1.25.0-1                 OK
which                        2.23-1                   OK
windows-default-manifest     6.5-1                    OK
xz                           5.8.3-1                  OK
zip                          3.0-13                   OK
zlib0                        1.3.2-1                  OK
zstd                         1.5.7-1                  OK
